1608,open,XXX,showell,12/08/2016,Null,Null
1607,closed,XXX,showell,12/08/2016,12/08/2016,Null
1603,closed,XXX,showell,12/08/2016,12/08/2016,Null
1601,closed,XXX,brainwane,11/08/2016,16/08/2016,Null
1600,closed,XXX,rishig,11/08/2016,12/08/2016,Null
1599,open,XXX,rishig,11/08/2016,Null,Null
1598,closed,XXX,umairwaheed,11/08/2016,20/09/2016,Null
1597,closed,XXX,rishig,10/08/2016,13/08/2016,Null
1595,closed,XXX,umkay,10/08/2016,16/08/2016,Null
1594,closed,XXX,showell,10/08/2016,12/08/2016,Null
1591,closed,XXX,umairwaheed,10/08/2016,10/08/2016,Null
1590,closed,XXX,kkampardi,10/08/2016,26/08/2016,Null
1589,open,XXX,timabbott,10/08/2016,Null,Null
1588,closed,XXX,showell,10/08/2016,10/08/2016,Null
1585,closed,XXX,TomaszKolek,09/08/2016,18/08/2016,Null
1583,closed,XXX,TomaszKolek,09/08/2016,26/08/2016,Null
1576,closed,XXX,umairwaheed,09/08/2016,09/08/2016,09/08/2016
1574,closed,XXX,umairwaheed,09/08/2016,09/08/2016,09/08/2016
1573,closed,XXX,brockwhittaker,09/08/2016,09/08/2016,Null
1572,closed,XXX,brockwhittaker,09/08/2016,26/09/2016,Null
1571,closed,XXX,brockwhittaker,09/08/2016,09/08/2016,Null
1570,closed,XXX,showell,09/08/2016,09/08/2016,Null
1569,closed,XXX,TomaszKolek,08/08/2016,09/08/2016,Null
1568,open,XXX,TomaszKolek,08/08/2016,Null,Null
1564,closed,XXX,umairwaheed,08/08/2016,09/08/2016,Null
1563,closed,XXX,brockwhittaker,08/08/2016,10/08/2016,Null
1562,closed,XXX,showell,07/08/2016,08/08/2016,Null
1560,closed,XXX,showell,07/08/2016,08/08/2016,Null
1559,closed,XXX,showell,07/08/2016,08/08/2016,Null
1558,closed,XXX,TroJan,07/08/2016,26/08/2016,Null
1557,open,XXX,showell,06/08/2016,Null,Null
1556,open,XXX,showell,06/08/2016,Null,Null
1552,closed,XXX,TroJan,05/08/2016,05/08/2016,Null
1551,closed,XXX,jmandel,05/08/2016,05/08/2016,Null
1550,closed,XXX,showell,05/08/2016,05/08/2016,Null
1549,closed,XXX,showell,05/08/2016,10/08/2016,Null
1548,closed,XXX,rishig,05/08/2016,07/10/2016,Null
1546,closed,XXX,christi3k,04/08/2016,04/08/2016,Null
1544,closed,XXX,showell,04/08/2016,05/08/2016,Null
1543,closed,XXX,ragsagar,04/08/2016,26/08/2016,Null
1542,closed,XXX,TroJan,04/08/2016,05/08/2016,Null
