// ID,State,Author,Comment Amount,Date (Open),Date (Close),Date (Merge)
// Date pattern: DD/MM/YYYY
// Pulls from Repository: https://github.com/github/hubot

756,closed,XXX,packetmonkey,03/09/2014,03/09/2014,03/09/2014
755,closed,XXX,therealklanni,02/09/2014,12/09/2014,Null
754,closed,XXX,tspascoal,29/08/2014,29/08/2014,29/08/2014
752,open,XXX,conradkleinespel,29/08/2014,Null,Null
750,closed,XXX,charlie-hadden,22/08/2014,22/08/2014,22/08/2014
749,closed,XXX,technicalpickles,22/08/2014,22/08/2014,22/08/2014
748,closed,XXX,technicalpickles,22/08/2014,25/09/2014,25/09/2014
747,closed,XXX,technicalpickles,22/08/2014,22/08/2014,22/08/2014
746,closed,XXX,technicalpickles,22/08/2014,22/08/2014,22/08/2014
745,closed,XXX,jjasghar,18/08/2014,19/08/2014,19/08/2014
744,open,XXX,tristanguo,15/08/2014,Null,Null
743,closed,XXX,huafu,12/08/2014,18/08/2014,18/08/2014
737,closed,XXX,rsanheim,07/08/2014,07/08/2014,07/08/2014
736,closed,XXX,technicalpickles,24/07/2014,24/07/2014,24/07/2014
732,closed,XXX,technicalpickles,15/07/2014,24/07/2014,24/07/2014
730,closed,XXX,keithduncan,09/07/2014,04/12/2014,Null
726,open,XXX,enykeev,01/07/2014,Null,Null
724,closed,XXX,michaelansel,27/06/2014,25/10/2014,Null
723,closed,XXX,y13i,27/06/2014,27/06/2014,Null
722,closed,XXX,alan-andrade,24/06/2014,23/07/2015,Null
720,closed,XXX,parkr,19/06/2014,24/07/2014,24/07/2014
717,closed,XXX,therealklanni,18/06/2014,12/09/2014,Null
715,open,XXX,srobroek,13/06/2014,Null,Null
714,closed,XXX,atmos,12/06/2014,13/06/2014,Null
712,closed,XXX,ngs,11/06/2014,12/06/2014,12/06/2014
710,closed,XXX,patcon,05/06/2014,20/01/2016,Null
709,closed,XXX,atmos,04/06/2014,13/06/2014,Null
708,closed,XXX,softarn,03/06/2014,10/06/2014,10/06/2014
703,closed,XXX,tricknotes,17/05/2014,19/05/2014,19/05/2014
702,closed,XXX,technicalpickles,15/05/2014,15/05/2014,15/05/2014
701,closed,XXX,technicalpickles,15/05/2014,15/05/2014,15/05/2014
700,open,XXX,technicalpickles,15/05/2014,Null,Null
699,closed,XXX,technicalpickles,15/05/2014,15/05/2014,15/05/2014
698,open,XXX,milyh,14/05/2014,Null,Null
697,closed,XXX,thiagogabriel,11/05/2014,19/05/2014,19/05/2014
696,closed,XXX,canadianveggie,08/05/2014,19/05/2014,19/05/2014
695,closed,XXX,dblandin,07/05/2014,19/05/2014,19/05/2014
693,closed,XXX,therealklanni,28/04/2014,17/05/2014,Null
690,open,XXX,william-p,22/04/2014,Null,Null
689,closed,XXX,technicalpickles,20/04/2014,20/04/2014,20/04/2014
688,closed,XXX,aripollak,17/04/2014,18/04/2014,Null
686,open,XXX,dancrumb,17/04/2014,Null,Null
687,closed,XXX,dancrumb,17/04/2014,17/04/2014,Null
685,closed,XXX,hbakhtiyor,16/04/2014,20/02/2015,Null
684,open,XXX,etoxin,16/04/2014,Null,Null
678,open,XXX,ajkerr,02/04/2014,Null,Null
677,closed,XXX,miyagawa,01/04/2014,01/04/2014,01/04/2014
676,closed,XXX,aaronstaves,01/04/2014,17/02/2015,Null
674,closed,XXX,miyagawa,25/03/2014,01/04/2014,Null
672,closed,XXX,spajus,22/03/2014,24/03/2014,Null
671,closed,XXX,Restuta,19/03/2014,24/03/2014,24/03/2014
670,open,XXX,cozmo,18/03/2014,Null,Null
667,closed,XXX,jbr,16/03/2014,15/04/2014,15/04/2014
665,closed,XXX,patcon,13/03/2014,01/11/2014,Null
663,closed,XXX,atmos,05/03/2014,05/03/2014,05/03/2014
661,closed,XXX,lusis,03/03/2014,10/03/2014,10/03/2014
660,closed,XXX,ymendel,27/02/2014,16/10/2014,16/10/2014
656,closed,XXX,patcon,24/02/2014,22/08/2014,Null
655,closed,XXX,jjasghar,20/02/2014,14/08/2015,Null
654,closed,XXX,adamvduke,17/02/2014,17/02/2014,17/02/2014
650,open,XXX,jasonmay,15/02/2014,Null,Null
649,closed,XXX,balbeko,14/02/2014,16/02/2014,Null
646,closed,XXX,jspiewak,10/02/2014,01/11/2014,Null
642,closed,XXX,thogg4,30/01/2014,31/01/2014,31/01/2014
641,closed,XXX,khellang,28/01/2014,28/01/2014,28/01/2014
640,closed,XXX,tricknotes,21/01/2014,24/01/2014,24/01/2014
639,closed,XXX,alindeman,20/01/2014,01/06/2014,Null
637,closed,XXX,tricknotes,17/01/2014,20/01/2014,20/01/2014
606,closed,XXX,patcon,15/01/2014,01/11/2014,Null
636,closed,XXX,searls,15/01/2014,15/01/2014,15/01/2014
635,closed,XXX,tricknotes,14/01/2014,15/01/2014,15/01/2014
634,closed,XXX,tricknotes,14/01/2014,14/01/2014,14/01/2014
633,closed,XXX,spajus,12/01/2014,13/01/2014,13/01/2014
632,closed,XXX,spajus,10/01/2014,10/01/2014,10/01/2014
631,closed,XXX,vinbarnes,08/01/2014,08/01/2014,08/01/2014
629,closed,XXX,xhan,01/01/2014,01/01/2014,01/01/2014
628,closed,XXX,joshuarubin,01/01/2014,10/01/2014,10/01/2014
627,closed,XXX,technicalpickles,31/12/2013,31/12/2013,31/12/2013
626,open,XXX,joshuarubin,31/12/2013,Null,Null
625,closed,XXX,technicalpickles,31/12/2013,31/12/2013,31/12/2013
624,closed,XXX,technicalpickles,31/12/2013,31/12/2013,31/12/2013
620,closed,XXX,davereid,20/12/2013,20/12/2013,20/12/2013
618,closed,XXX,akiomik,15/12/2013,16/12/2013,16/12/2013
617,closed,XXX,aendrew,12/12/2013,12/12/2013,12/12/2013
615,closed,XXX,amaltson,08/12/2013,31/12/2013,Null
614,closed,XXX,amaltson,08/12/2013,01/11/2014,Null
612,closed,XXX,rgbkrk,01/12/2013,22/12/2014,Null
609,closed,XXX,smerrill,20/11/2013,17/12/2013,17/12/2013
604,closed,XXX,tubaman,31/10/2013,08/11/2013,Null
601,closed,XXX,technicalpickles,25/10/2013,29/10/2013,29/10/2013
600,closed,XXX,wingrunr21,22/10/2013,29/10/2013,29/10/2013
599,closed,XXX,cannikin,16/10/2013,31/12/2013,31/12/2013
592,closed,XXX,mgriffin,04/10/2013,04/10/2013,04/10/2013
590,closed,XXX,pawelrychlik,26/09/2013,26/09/2013,26/09/2013
585,closed,XXX,simonsj,17/09/2013,17/09/2013,17/09/2013
583,closed,XXX,spajus,11/09/2013,11/09/2013,11/09/2013
582,closed,XXX,vanetix,10/09/2013,10/09/2013,10/09/2013
579,closed,XXX,balbeko,25/08/2013,25/08/2013,25/08/2013
578,closed,XXX,thiagopnts,24/08/2013,24/08/2013,24/08/2013
577,closed,XXX,koorgoo,19/08/2013,19/08/2013,Null
576,closed,XXX,commadelimited,16/08/2013,16/08/2013,16/08/2013
575,closed,XXX,balbeko,15/08/2013,15/08/2013,15/08/2013
574,closed,XXX,balbeko,15/08/2013,15/08/2013,Null
572,closed,XXX,pseudomuto,15/08/2013,15/08/2013,15/08/2013
570,closed,XXX,tombell,13/08/2013,13/08/2013,13/08/2013
569,closed,XXX,jhubert,13/08/2013,13/08/2013,13/08/2013
566,closed,XXX,jhubert,10/08/2013,10/08/2013,10/08/2013
565,closed,XXX,balbeko,10/08/2013,25/08/2013,Null
563,closed,XXX,tombell,09/08/2013,09/08/2013,09/08/2013
562,closed,XXX,tombell,09/08/2013,12/08/2013,12/08/2013
561,closed,XXX,felixdv,09/08/2013,12/08/2013,Null
560,closed,XXX,nwest,08/08/2013,09/08/2013,09/08/2013
559,closed,XXX,tombell,07/08/2013,08/08/2013,08/08/2013
558,closed,XXX,nwest,06/08/2013,07/08/2013,07/08/2013
557,closed,XXX,tombell,06/08/2013,09/08/2013,09/08/2013
555,closed,XXX,felixdv,03/08/2013,06/08/2013,06/08/2013
554,closed,XXX,tombell,29/07/2013,31/07/2013,31/07/2013
553,closed,XXX,tombell,27/07/2013,29/07/2013,29/07/2013
549,closed,XXX,Hammertime38,26/07/2013,29/08/2013,Null
548,closed,XXX,preflightsiren,26/07/2013,16/08/2013,16/08/2013
547,closed,XXX,knomedia,25/07/2013,26/07/2013,26/07/2013
546,closed,XXX,halkeye,25/07/2013,10/08/2013,10/08/2013
545,closed,XXX,needcaffeine,25/07/2013,25/07/2013,25/07/2013
544,closed,XXX,tombell,23/07/2013,26/07/2013,Null
543,closed,XXX,balbeko,23/07/2013,24/07/2013,24/07/2013
541,closed,XXX,dmathieu,22/07/2013,22/07/2013,Null
540,closed,XXX,bartolsthoorn,21/07/2013,22/07/2013,22/07/2013
539,closed,XXX,technicalpickles,21/07/2013,21/07/2013,21/07/2013
538,closed,XXX,tombell,21/07/2013,21/07/2013,21/07/2013
536,closed,XXX,bartolsthoorn,21/07/2013,21/07/2013,21/07/2013
535,closed,XXX,tombell,20/07/2013,21/07/2013,21/07/2013
533,closed,XXX,technicalpickles,19/07/2013,19/07/2013,19/07/2013
532,closed,XXX,technicalpickles,19/07/2013,19/07/2013,19/07/2013
529,closed,XXX,unrar,08/07/2013,08/07/2013,Null
524,closed,XXX,rileytg,26/06/2013,26/06/2013,26/06/2013
521,closed,XXX,timclipsham,22/06/2013,13/07/2013,Null
520,closed,XXX,timclipsham,22/06/2013,22/06/2013,22/06/2013
515,closed,XXX,bhuga,12/06/2013,12/06/2013,12/06/2013
512,closed,XXX,brentc,10/06/2013,10/06/2013,10/06/2013
509,closed,XXX,mizzy,10/06/2013,10/06/2013,10/06/2013
508,closed,XXX,tfausak,08/06/2013,08/06/2013,08/06/2013
506,closed,XXX,mizzy,07/06/2013,07/06/2013,Null
505,closed,XXX,jacksonhull,06/06/2013,06/06/2013,06/06/2013
504,closed,XXX,ejfinneran,02/06/2013,04/06/2013,Null
503,closed,XXX,aroben,22/05/2013,22/05/2013,22/05/2013
500,closed,XXX,maxgoedjen,14/05/2013,14/05/2013,14/05/2013
